pub_year,2702,2703,2704,2705,2706,2707,2708,2711,2712,2713,2714,2715,2716,2717,2718,2720,2721,2723,2724,2725,2726,2727,2728,2729,2730,2731,2732,2733,2734,2735,2736,2737,2738,2739,2740,2741,2742,2743,2745,2746,2747,2748,2910,2911,2916,2922,3402,3404,3500,3504,3505,3506,3600,3603,3604,3605,3607,3608,3609,3611,3612,3614,3616
1975,3181,2613,1108,13163,1375,2328,4731,5005,11920,21618,239,2049,4919,831,18,5442,2604,1439,1299,7920,239,3943,7839,2363,14045,4642,1971,1394,9137,13225,10652,19032,5932,15947,24405,15312,1972,4096,8913,34975,647,2802,1027,124,8054,73,443,4627,362,2839,841,1682,17087,827,3906,1277,810,180,901,2618,1032,1387,3616
1976,3253,2702,1080,13475,1322,2429,4924,4970,12157,22355,281,2235,5077,772,24,5221,2659,1535,1179,8240,229,3993,8357,2564,14805,4823,1986,1479,9473,13377,11011,19558,6016,16696,24849,15193,1976,4292,9063,35809,677,2813,1074,150,8271,96,343,4803,398,2806,803,1773,18008,846,3998,1493,810,194,870,2678,1109,1332,3842
1977,3272,2604,1103,14022,1398,2488,5152,5113,12578,23582,273,2354,5519,823,25,6246,2707,1659,1289,8539,248,4173,8794,2699,15944,5127,2247,1486,10273,14118,11457,20505,6414,17558,26704,16300,1975,4486,9715,37639,706,2995,1103,141,8880,92,367,4801,347,3019,982,1821,18766,915,4090,1451,805,182,963,2590,1124,1483,3700
1978,3247,2848,1168,15088,1501,2612,5351,5314,13231,24421,315,2753,5745,836,22,6112,2854,1707,1101,8826,279,4250,9165,2737,16819,4968,2199,1672,10728,14816,12028,21430,6968,18630,27301,17007,2079,4854,9810,39703,739,3027,1298,172,9440,127,367,5177,347,2975,993,1887,20183,886,4372,1650,952,198,1025,2907,1239,1555,3992
1979,3115,2941,1234,15920,1590,2798,5510,5623,13506,25775,352,2429,6114,875,26,6934,2863,1903,1366,9064,244,4263,9766,2931,17504,5352,2330,1696,11118,14942,12656,21587,7303,19788,28794,17730,2213,5234,9974,40622,833,3155,1329,155,9866,98,457,5096,340,3049,1025,1875,21016,937,4658,1718,942,228,1122,2997,1274,1749,3999
1980,2916,3226,1421,16805,1621,3208,5873,5843,14394,27293,378,2733,6238,930,24,6686,3111,2146,1243,9996,279,4691,9730,2995,18410,5420,2666,1811,11808,16009,13655,23501,7571,21260,29716,18482,2270,5558,10717,43781,794,3475,1320,185,11953,115,528,6773,388,2986,1024,1940,21743,918,4599,1948,1022,204,1187,3083,1313,1935,4129
1981,2777,3436,1409,18259,1658,3204,5936,6216,14668,27691,462,2709,6823,1016,24,7880,3191,2376,1476,9805,265,4626,10333,3117,19402,5668,2760,1835,12454,16519,14045,24036,8060,21370,31834,20016,2454,5496,11255,44519,864,3349,1356,182,11183,150,487,5452,381,3130,1053,2038,22608,933,4693,2015,926,221,1340,3265,1399,2034,4145
1982,2773,3637,1453,18800,1697,3427,6375,6075,14794,28957,460,2779,6765,1114,40,7244,3431,2621,1400,10328,286,4613,10572,3178,20205,5936,2985,1899,12929,16843,14724,24669,8474,22033,32206,21132,2678,5765,11594,46515,842,3465,1475,202,11290,162,574,5647,382,3372,1183,2159,23091,971,4918,2164,985,213,1416,3358,1282,2104,4265
1983,2879,3645,1464,19911,1798,3318,6377,6710,15171,30123,433,2953,7170,1145,38,7707,3611,2831,1421,10577,286,4850,11097,3455,20990,6354,3091,1972,13831,17138,15455,25069,9003,23298,33393,22742,2664,5995,11968,47851,995,3667,1469,186,11822,131,532,5675,413,3467,1237,2305,23943,1164,5050,2208,1046,210,1430,3438,1314,2275,4223
1984,2858,4215,1586,20930,1856,3794,6785,6759,15818,31586,499,3285,7302,1207,37,8201,3750,3052,1541,11170,279,4950,11501,3657,22550,6120,3522,1979,14551,18435,16270,26377,9555,24282,35511,24167,2862,6517,12443,51338,1008,4071,1470,191,12684,124,650,6090,486,3898,1368,2522,24247,1198,5167,2269,1030,275,1573,3712,1201,2352,4329
1985,2862,4082,1660,22138,2004,3971,7348,6996,16272,33739,452,3260,7827,1116,60,8704,4430,3558,1584,11593,283,4998,12195,3856,23718,6610,3751,2351,15085,19250,16659,27629,9901,25151,37288,26003,2935,6836,13046,53679,1231,4129,1520,186,13158,138,724,6141,508,4309,1525,2509,25424,1284,5675,2244,1077,237,1713,3809,1288,2306,4512
1986,3001,4337,1761,23839,2050,4049,7402,7488,17052,35164,453,3690,7854,1191,53,9278,4465,3545,1863,12148,291,5213,12743,3977,25866,6879,3849,2227,15917,19302,17018,28312,10421,27064,38673,27023,3253,6902,13522,56366,1248,4150,1528,179,14209,181,721,6419,514,4494,1591,2642,26956,1318,5650,2447,1194,290,1815,4190,1368,2521,4664
1987,3155,5020,1948,26055,2324,4342,7778,7926,17386,37669,547,3553,8817,1220,50,11162,5119,4080,2016,13383,303,5489,13917,4300,26809,7448,4132,2328,17169,20651,17543,30197,11320,28606,41264,28152,3553,7890,14703,60566,1952,4945,1769,202,14420,198,704,6341,525,4696,1676,2683,29088,1377,5925,2549,1196,284,1919,4236,1496,2775,5084
1988,3088,4846,1967,26130,2340,4517,7917,8392,17965,39201,529,3645,8399,1416,78,10270,5262,4444,1962,15140,300,5526,14303,4399,27179,7498,4434,2611,17406,20915,17843,30800,11610,30447,40878,28721,3780,8052,14876,62989,1883,4543,1820,227,14567,202,794,6425,612,4876,1893,2957,31823,1371,6348,2611,1246,272,1968,4638,1425,3145,5398
1989,3123,5114,2045,27709,2416,4632,8118,8982,18305,41341,597,3879,8990,1374,57,10998,5842,4550,2036,15864,317,5725,14610,4899,29485,7645,4930,2613,18512,21808,18277,32588,12708,31769,43433,30152,3760,8632,15264,66234,2057,4887,1856,207,15078,245,788,6744,628,5782,2303,3145,32680,1500,6444,2849,1332,295,2075,4607,1698,3141,5386
1990,3032,5924,2551,30663,2714,5203,8857,9448,19353,43891,623,4081,9213,1570,59,11413,6381,5093,2312,17457,375,5913,15602,4790,30491,8146,5283,2836,19523,22494,19652,34745,13245,34354,45073,31534,4128,8773,15619,69675,1998,4818,1989,261,17577,235,932,8103,627,5558,2306,3111,34302,1521,6658,3198,1374,283,2149,4797,1725,3356,5821
1991,2708,5581,2475,30133,2774,4810,8474,9122,18357,43727,707,3896,8923,1610,57,11375,7003,5560,2301,17259,280,5790,15448,5263,30543,7972,5364,2768,19436,22208,18805,33661,13600,34417,44726,31457,3973,8604,15649,68449,1989,4805,1855,256,15844,279,876,6493,686,5368,2205,2803,35237,1415,6916,3185,1337,312,2203,4813,1746,3424,5721
1992,1840,5531,2585,30282,2856,5217,8442,9323,19254,43725,678,3908,9240,1605,64,11921,6740,5967,2384,17090,302,5775,15786,5011,31427,8363,6025,2651,19807,22096,18878,35394,14158,35547,44984,31925,4100,8844,15578,69863,2197,4811,1869,287,15767,279,848,6795,569,5016,2237,2625,35312,1288,6383,3262,1341,273,2320,4538,1901,3831,5723
1993,1741,5260,2818,29856,2895,5227,8640,9497,19736,46349,715,3807,9506,1786,82,12207,8061,6417,2404,17727,320,5764,15982,5547,33013,8116,5894,2707,20004,22808,18974,34861,14009,37656,46819,32077,4419,9452,16310,71708,2155,4923,1991,260,16119,361,985,6924,546,5059,2238,2505,38508,1219,6759,3717,1300,326,2422,4711,1976,3815,5948
1994,1778,5814,3195,30467,3169,5520,9051,10040,20129,47692,709,4194,9923,1860,52,12587,8792,6993,2313,18672,300,5795,16859,5647,35442,8132,6533,3021,21009,23047,19648,37202,14716,40632,49077,33691,4627,9566,16512,74432,2431,5085,2073,259,16582,347,920,6889,593,5222,2364,2607,40911,1200,6822,3896,1457,343,2653,4917,2260,4217,6331
1995,1894,6064,3227,33763,3385,6072,9722,10387,20567,53064,756,5317,10029,2053,77,12386,10621,7462,2641,20414,299,6109,17953,6292,38325,9293,6777,3524,22939,24185,20974,39577,16611,43196,52309,36329,4915,10174,17997,81364,2480,5739,2015,337,17360,348,1024,7287,635,5468,2445,2668,44052,1304,7314,4193,1494,347,2890,5235,2364,4337,6522
1996,2093,6550,3585,35300,3541,6712,11099,10890,21668,53109,861,4793,10697,2120,71,13322,9049,8653,2816,20568,370,6698,18775,6909,40148,9338,8168,3636,24119,26018,21639,41474,17778,46523,55203,36646,5244,10750,18877,85227,2437,6025,1822,415,18068,352,1010,7504,632,6044,2596,2933,45156,1440,7538,4026,1590,363,3057,5434,2550,4604,7050
1997,2002,6875,3932,36695,3701,7118,11429,11048,22318,56250,855,4767,11404,2296,81,13611,9490,8531,3085,21628,344,6391,20842,6891,43398,9551,8047,4075,25734,26961,22116,42852,18839,49564,56977,37308,5653,11518,19690,88208,2320,6394,2064,427,18573,362,1039,7710,661,6396,2897,2945,48768,1577,7664,4374,1488,390,3343,5591,2982,4556,7552
1998,2033,7154,4136,39576,4004,7701,11750,11678,22184,58670,952,6051,11342,2339,74,14171,10642,8679,3306,23133,342,6607,20579,7146,43180,9713,8254,3532,26876,27779,23396,44051,19427,52705,58054,37450,5833,11368,20378,93880,3332,6645,2033,553,19738,361,1051,8296,728,6317,2890,2962,51304,1484,7907,4660,1656,409,3423,5867,3229,4598,7822
1999,1908,7032,4237,37884,4225,8668,11089,12211,22514,58831,1014,5522,11359,2571,85,13941,9829,8396,3218,22975,350,6602,20987,7204,44821,9724,9108,4021,26921,27779,23864,43831,20162,56213,59285,37514,6228,11739,20502,93229,2951,6800,2094,577,19630,368,1133,7803,743,6680,2965,3038,54195,1587,8679,4673,1654,402,3818,6308,3504,5060,8316
2000,2327,7586,4971,42475,4416,11517,12060,12636,25350,67544,1187,7544,12197,2866,78,15233,12471,8563,3611,26106,387,7092,22595,8665,48761,11270,9519,4285,30028,29735,27444,47910,22456,62911,63826,40404,6789,12868,22455,105320,3015,7018,2141,606,23002,385,1131,9447,856,7221,3299,3340,60016,1692,9565,5275,1863,495,4216,6894,3971,5302,8851
2001,2205,7174,4846,45146,4599,13589,12716,12794,25575,69476,1340,7978,12261,3056,105,14351,13051,8613,3796,26103,389,7358,23028,9608,50359,11597,10719,4553,31001,31255,28485,48172,22854,65561,66864,42874,7291,13449,24451,109191,2980,7580,2124,642,21910,426,1155,8508,971,7769,3714,3824,63968,1786,9991,5562,1943,548,4412,7458,4628,5458,9315
2002,2351,7455,5313,50214,4958,15648,13704,13569,26678,71474,1391,6784,13133,3307,146,15383,12714,8987,4027,26870,417,7810,24647,9285,50955,14600,11608,4745,33081,32360,31193,50827,24765,71746,70634,51347,8096,13943,25340,113920,3036,8334,2552,961,23111,463,1438,9358,1105,9050,4322,4103,70459,1946,11825,6739,2368,616,4813,7995,5308,6028,10280
2003,2575,7366,5902,56285,5405,18828,14436,14874,28530,81445,1564,8220,14768,3738,124,17343,14931,9560,4660,30518,444,8195,26652,10575,57235,16026,13096,5433,36294,35390,34150,54189,26811,79572,78557,53564,8968,15031,28200,126381,3258,8756,2555,1110,25144,478,1269,9698,1206,9757,4649,4558,76584,2052,12889,7080,2501,679,5283,8772,6117,6253,10966
2004,2803,8767,6631,57650,6378,21432,16366,16277,31235,90037,1775,8783,17637,4008,204,20112,15692,10283,4998,33477,499,9069,28918,12118,66402,17430,14592,6320,40686,38859,37724,59331,29062,88378,89666,58294,10135,16759,31000,140284,4350,10075,2675,1363,27691,491,1481,10530,1361,10781,5040,4808,85425,2171,14189,7648,2712,748,5891,9657,6939,6881,12260
2005,3051,9529,6986,65566,6830,24775,17171,17657,33449,97068,2011,9048,19122,4551,195,21127,16701,10012,5144,35523,508,9678,31691,12768,68653,19452,16174,6689,43432,42080,41371,62141,32009,94740,96824,64600,11005,17324,34129,148886,4005,10937,2800,1631,29040,557,1466,11070,1464,11989,5541,5490,90785,2397,16683,8850,3236,794,6287,10784,7796,7671,12993
2006,3501,10450,7675,68055,7771,28292,18290,19528,37873,110083,2178,10450,21165,5033,233,22786,18865,10719,6149,39234,519,10964,34513,14510,75754,20682,18106,6843,47467,46655,45251,68894,35819,105120,106269,69496,12594,18715,37727,167443,5013,12205,3072,1844,31620,679,1782,11902,1482,12894,6158,5849,99697,2563,18241,9638,3421,761,7335,11407,8486,8477,14540
2007,3803,10489,8629,69101,7937,32435,19533,20266,39144,113404,2466,10233,22680,5413,244,23950,18103,10818,5842,41419,566,11302,36028,14536,78742,22112,18658,7844,49730,48754,47596,69696,36874,109531,110948,71799,12886,18722,39642,169487,3893,12969,3127,2315,33501,695,1888,12930,1766,14542,7059,6320,107792,2909,18678,10316,3621,782,7955,12063,9918,8570,15300
2008,4466,11500,9338,74631,8782,35935,20827,22430,43529,127198,2761,12226,24643,6153,265,25359,20768,11192,6432,45801,674,13302,39368,16207,83793,23820,20850,7905,53909,54555,51387,76259,40470,121183,120750,77299,14778,20474,42478,190062,5057,13815,3212,2547,36926,780,2018,13795,1804,15955,7350,6939,119635,3020,20665,11713,4112,717,9107,13300,11586,9623,17721
2009,5151,11612,10149,77608,9228,40112,21293,23314,45929,135310,2994,12178,25628,6334,268,25845,21029,11477,6589,48421,662,13240,41478,17676,89768,24171,22013,8497,56711,57151,54092,80058,41630,132057,127675,81577,15627,22234,44040,195381,4553,14577,3658,3075,40527,865,2226,15808,2043,16755,8056,7721,129627,3271,22149,13094,4314,977,9608,13532,12864,10253,18676
2010,5509,12595,11483,84686,10414,45246,21884,26134,48432,144616,3266,12463,27332,7150,334,27065,22394,11623,7179,51029,647,14402,41698,18383,94836,26126,24070,8620,59836,61529,58659,84094,45326,140124,135553,86462,16883,21235,45464,204419,5156,14783,3731,3302,43601,907,2924,17042,2331,18521,9173,8631,139880,3448,24264,14443,4800,794,11153,14626,14776,11648,20813
2011,6096,13487,13041,91944,11298,48396,23800,27134,50943,154124,3761,13406,29436,8257,305,28842,23220,12028,7670,53397,686,15473,44530,20614,101942,26224,25995,9804,63449,67606,61691,90213,47608,150555,148069,91697,18663,22580,48834,218190,4659,15711,4070,3929,45529,1113,2451,16109,2562,20543,9647,9579,152083,3944,26387,15700,5122,803,11905,16031,16639,12871,22633
2012,6682,13980,13730,94381,12370,48934,25015,30275,54232,164005,4346,13906,30990,9510,355,29608,24151,12312,8491,57349,728,16300,47523,21965,107300,27742,26463,10189,67002,74095,63619,94024,51041,161898,155785,95002,19703,24075,51179,229686,5606,16357,4484,4245,48056,1181,2477,17217,2923,21758,10208,10624,167386,3990,27393,18136,5348,820,14040,17089,17502,14385,24265
2013,7144,14524,14609,100876,13146,50590,25444,31222,56539,173755,4589,14410,33135,10303,398,32110,25040,12599,8815,59822,705,17180,50493,22972,109543,29228,28257,10795,69965,79113,65424,98953,54432,168976,160078,99361,21185,24989,56794,236867,4873,16930,4346,4506,51282,1288,2633,17605,3079,22871,10663,11058,179125,4362,28315,20060,5530,819,15171,17690,20152,14740,26351
2014,7442,15091,15100,99998,13535,46146,26288,33336,58874,177527,5020,14212,34836,11450,466,32588,25863,12609,8832,64937,803,17638,51778,23883,112695,30390,30322,11415,71530,84871,65045,101352,56285,181879,162932,101374,22093,25528,57378,241243,6178,17121,4406,4733,53573,1252,2755,18236,3311,24012,11324,12160,194294,4651,29329,21533,5389,747,17226,18140,22614,15384,27909
2015,7402,14949,15343,102533,14156,42056,27966,34828,59936,181142,5386,14975,35340,11961,557,33520,25496,12144,9453,65430,835,19072,53343,24502,115838,31624,30416,11203,72766,88534,63414,105307,58081,186334,166531,103191,22833,26030,57063,243950,5231,16856,4731,5559,53879,1410,2618,18161,3761,24550,11617,12589,203009,4697,30017,23458,5341,677,19582,19012,23918,16101,28354
2016,6160,14762,14304,101411,14035,35219,28805,35752,58615,179774,5532,13969,35605,12365,694,32950,25588,11949,9380,63731,850,18492,51866,24829,116439,31249,31118,11467,70517,91436,60144,103280,58353,190444,166202,103491,22996,26193,56448,243874,5133,17075,4848,5712,51868,1390,2366,17432,3830,23674,11380,12397,207444,4508,28378,24280,5263,604,20510,18469,23079,16710,29047
2017,5638,15779,14951,103529,14786,34432,29863,36165,58517,182731,5472,14242,36474,13060,906,33297,25087,11454,9712,63162,852,18631,54123,24491,118622,31639,32197,11581,71369,93905,59029,104672,60109,188040,169469,101083,23960,25538,57427,248848,5075,17207,4466,5966,52474,1386,2637,18130,3930,24368,11745,12725,206946,4708,27995,24065,5080,565,21775,18401,23892,16600,29482
2018,6263,15851,14922,106852,15003,35334,30415,37778,61622,190473,5723,13813,37651,13545,1388,33665,26044,11518,10236,63634,778,18904,55489,26898,123131,31885,33233,12103,72621,102299,60804,108000,60333,194406,174029,103643,25234,25931,58318,261196,5846,18212,4056,6237,53882,1384,2517,18073,4370,25336,12488,13524,208870,4860,27891,25911,5189,451,23191,18529,25022,17624,30777
2019,6688,17243,15803,111131,16313,38002,31499,39444,64150,201821,6066,14713,40679,14771,2088,37773,26042,11604,11023,67002,940,20213,58220,28806,133136,33804,33445,12823,75583,112740,63852,114460,63849,199737,188163,110400,26264,27476,60061,268240,5419,18242,4144,6319,56471,1465,2715,18256,4753,25991,12309,14282,215912,5019,29164,28819,5188,422,25289,18809,27913,18250,31849
2020,7096,17472,17334,116555,19949,39883,36632,43198,65309,211602,6526,15405,38811,15513,3063,35987,25663,12346,11999,108846,953,22828,73943,34440,153233,37036,34831,13855,77600,118328,65737,116691,66328,215810,199097,119335,27167,28315,61904,278871,5781,19203,3844,6260,60515,1485,2551,18816,9218,27781,13366,16497,235896,5456,34917,30573,5153,337,26483,18596,28738,20476,31313
2021,6419,16287,17588,117612,20217,39576,37875,44144,64871,212484,6321,14691,39503,15383,3848,37757,24402,11845,12420,121485,972,22924,80825,38201,156415,37286,33563,13663,78362,123993,64407,112895,67479,208679,200991,122204,26871,27889,60798,278842,5364,18673,3279,4807,57918,1474,2525,18481,9575,27971,14088,17022,215879,5634,31420,29717,4568,322,23704,17087,28126,20113,30399
2022,5424,15338,17215,112162,18593,38330,35216,39780,61852,198065,5778,14195,39334,14336,4231,38007,23583,10981,11347,106551,994,22097,73393,35145,147252,33153,30890,12578,74123,115302,60922,106639,62313,182151,190108,112970,25492,26256,59202,261955,5420,17438,2678,3858,53263,1306,2209,16859,7700,25189,12922,15071,179465,5020,26395,28835,3962,205,20383,13954,25499,18573,26649
2023,5362,15533,16703,115769,18146,38065,36240,38775,63624,199226,6005,14479,41033,14500,9780,40210,23853,11115,11377,90673,968,22559,70581,34488,145211,31321,30527,12584,75106,120638,60663,109872,65016,184415,193231,119817,26204,26820,59852,264167,5241,17532,2742,3778,53419,1322,2359,17044,6908,25424,13277,15288,183445,5398,26503,33874,4181,179,23236,14503,26598,18290,29136
2024,4698,16652,17291,121121,18221,46430,38328,37923,68621,201520,6168,16428,41706,15227,15067,38193,25542,10967,10958,80965,996,23673,69453,32250,144715,31556,32660,12474,77617,110025,64015,118983,64997,186540,197836,131157,28532,27408,61895,278046,5889,18140,3094,5419,60105,1612,2157,16545,6107,26640,13490,14790,188169,5780,27987,37665,5388,191,23921,16693,27242,18887,30191
