year,nodeid,true,predict
1975,1105,14902.0,14902.0
1976,1105,15406.0,15406.0
1977,1105,16219.0,16219.0
1978,1105,16758.0,16758.0
1979,1105,17836.0,17836.0
1980,1105,23699.0,23699.0
1981,1105,19171.0,19171.0
1982,1105,19253.0,19253.0
1983,1105,20115.0,20115.0
1984,1105,21426.0,21426.0
1985,1105,21959.0,21959.0
1986,1105,23341.0,23341.0
1987,1105,23401.0,23401.0
1988,1105,23779.0,23779.0
1989,1105,24114.0,24114.0
1990,1105,31437.0,31437.0
1991,1105,25659.0,25659.0
1992,1105,26498.0,26498.0
1993,1105,27576.0,27576.0
1994,1105,28613.0,28613.0
1995,1105,29133.0,29133.0
1996,1105,31019.0,31019.0
1997,1105,31102.0,31102.0
1998,1105,32888.0,32888.0
1999,1105,33150.0,33150.0
2000,1105,41656.0,41656.0
2001,1105,38284.0,38284.0
2002,1105,40905.0,40905.0
2003,1105,42751.0,42751.0
2004,1105,45686.0,45686.0
2005,1105,49043.0,49043.0
2006,1105,53199.0,53199.0
2007,1105,56043.0,56043.0
2008,1105,61221.0,61221.0
2009,1105,68994.0,68994.0
2010,1105,72197.0,72197.0
2011,1105,71584.0,71584.0
2012,1105,73589.0,73589.0
2013,1105,76126.0,76126.0
2014,1105,77897.0,77897.0
2015,1105,77683.0,77683.0
2016,1105,78409.0,78409.0
2017,1105,73923.0,73923.0
2018,1105,71996.0,71996.0
2019,1105,72689.0,72689.0
2020,1105,73487.0,73790.96875
2021,1105,69233.0,73646.2421875
2022,1105,60105.0,70829.46875
2023,1105,58657.0,64664.4375
2024,1105,62361.0,61700.71875
2025,1105,,63037.41015625
2026,1105,,62983.44921875
2027,1105,,63206.34375
2028,1105,,63654.58203125
2029,1105,,64092.46484375
1975,1106,8961.0,8961.0
1976,1106,8774.0,8774.0
1977,1106,9384.0,9384.0
1978,1106,9821.0,9821.0
1979,1106,10196.0,10196.0
1980,1106,14828.0,14828.0
1981,1106,11104.0,11104.0
1982,1106,11504.0,11504.0
1983,1106,12008.0,12008.0
1984,1106,12201.0,12201.0
1985,1106,12930.0,12930.0
1986,1106,13484.0,13484.0
1987,1106,13469.0,13469.0
1988,1106,14134.0,14134.0
1989,1106,14697.0,14697.0
1990,1106,20565.0,20565.0
1991,1106,15992.0,15992.0
1992,1106,17048.0,17048.0
1993,1106,18485.0,18485.0
1994,1106,19182.0,19182.0
1995,1106,20292.0,20292.0
1996,1106,21827.0,21827.0
1997,1106,22478.0,22478.0
1998,1106,25000.0,25000.0
1999,1106,25889.0,25889.0
2000,1106,32665.0,32665.0
2001,1106,30604.0,30604.0
2002,1106,34887.0,34887.0
2003,1106,37377.0,37377.0
2004,1106,41093.0,41093.0
2005,1106,44936.0,44936.0
2006,1106,49441.0,49441.0
2007,1106,54158.0,54158.0
2008,1106,59360.0,59360.0
2009,1106,68661.0,68661.0
2010,1106,75458.0,75458.0
2011,1106,78893.0,78893.0
2012,1106,84754.0,84754.0
2013,1106,89468.0,89468.0
2014,1106,93536.0,93536.0
2015,1106,94373.0,94373.0
2016,1106,91513.0,91513.0
2017,1106,92669.0,92669.0
2018,1106,96200.0,96200.0
2019,1106,102415.0,102415.0
2020,1106,106593.0,104064.984375
2021,1106,104517.0,108529.0859375
2022,1106,96739.0,107449.4609375
2023,1106,97025.0,101145.6171875
2024,1106,101565.0,99397.0625
2025,1106,,103648.25
2026,1106,,106125.0078125
2027,1106,,108023.90625
2028,1106,,109775.09375
2029,1106,,112550.0
1975,1110,25449.0,25449.0
1976,1110,26607.0,26607.0
1977,1110,28259.0,28259.0
1978,1110,29490.0,29490.0
1979,1110,30933.0,30933.0
1980,1110,54970.0,54970.0
1981,1110,34511.0,34511.0
1982,1110,36121.0,36121.0
1983,1110,37565.0,37565.0
1984,1110,40181.0,40181.0
1985,1110,40182.0,40182.0
1986,1110,43260.0,43260.0
1987,1110,43708.0,43708.0
1988,1110,46371.0,46371.0
1989,1110,47782.0,47782.0
1990,1110,72438.0,72438.0
1991,1110,51025.0,51025.0
1992,1110,56757.0,56757.0
1993,1110,59310.0,59310.0
1994,1110,62942.0,62942.0
1995,1110,64734.0,64734.0
1996,1110,67944.0,67944.0
1997,1110,68427.0,68427.0
1998,1110,72786.0,72786.0
1999,1110,73764.0,73764.0
2000,1110,101838.0,101838.0
2001,1110,88407.0,88407.0
2002,1110,94224.0,94224.0
2003,1110,98533.0,98533.0
2004,1110,107460.0,107460.0
2005,1110,115550.0,115550.0
2006,1110,124142.0,124142.0
2007,1110,131753.0,131753.0
2008,1110,143587.0,143587.0
2009,1110,164349.0,164349.0
2010,1110,173980.0,173980.0
2011,1110,174136.0,174136.0
2012,1110,180230.0,180230.0
2013,1110,188341.0,188341.0
2014,1110,193208.0,193208.0
2015,1110,190493.0,190493.0
2016,1110,179817.0,179817.0
2017,1110,181616.0,181616.0
2018,1110,187164.0,187164.0
2019,1110,192568.0,192568.0
2020,1110,200491.0,190814.84375
2021,1110,194675.0,196260.28125
2022,1110,183338.0,193650.40625
2023,1110,182728.0,187868.484375
2024,1110,195249.0,184973.296875
2025,1110,,193134.484375
2026,1110,,192488.75
2027,1110,,190895.796875
2028,1110,,189723.953125
2029,1110,,190242.671875
1975,1311,22117.0,22117.0
1976,1311,22572.0,22572.0
1977,1311,23696.0,23696.0
1978,1311,24634.0,24634.0
1979,1311,25424.0,25424.0
1980,1311,30211.0,30211.0
1981,1311,26830.0,26830.0
1982,1311,27915.0,27915.0
1983,1311,28070.0,28070.0
1984,1311,29362.0,29362.0
1985,1311,30817.0,30817.0
1986,1311,31943.0,31943.0
1987,1311,33525.0,33525.0
1988,1311,34417.0,34417.0
1989,1311,36535.0,36535.0
1990,1311,42328.0,42328.0
1991,1311,38874.0,38874.0
1992,1311,39420.0,39420.0
1993,1311,40489.0,40489.0
1994,1311,42954.0,42954.0
1995,1311,44842.0,44842.0
1996,1311,47789.0,47789.0
1997,1311,48728.0,48728.0
1998,1311,50718.0,50718.0
1999,1311,51816.0,51816.0
2000,1311,60691.0,60691.0
2001,1311,59586.0,59586.0
2002,1311,62451.0,62451.0
2003,1311,66860.0,66860.0
2004,1311,72821.0,72821.0
2005,1311,76178.0,76178.0
2006,1311,83173.0,83173.0
2007,1311,84718.0,84718.0
2008,1311,93161.0,93161.0
2009,1311,98798.0,98798.0
2010,1311,101876.0,101876.0
2011,1311,104802.0,104802.0
2012,1311,107526.0,107526.0
2013,1311,110536.0,110536.0
2014,1311,113155.0,113155.0
2015,1311,113197.0,113197.0
2016,1311,112530.0,112530.0
2017,1311,108948.0,108948.0
2018,1311,111404.0,111404.0
2019,1311,115025.0,115025.0
2020,1311,115035.0,115189.125
2021,1311,113685.0,115226.5625
2022,1311,106066.0,113380.046875
2023,1311,106274.0,107415.09375
2024,1311,111391.0,106336.609375
2025,1311,,111611.1953125
2026,1311,,111742.9375
2027,1311,,111143.6484375
2028,1311,,110757.6875
2029,1311,,111024.8828125
1975,1312,58914.0,58914.0
1976,1312,58905.0,58905.0
1977,1312,61718.0,61718.0
1978,1312,65249.0,65249.0
1979,1312,67557.0,67557.0
1980,1312,74655.0,74655.0
1981,1312,75061.0,75061.0
1982,1312,78825.0,78825.0
1983,1312,80765.0,80765.0
1984,1312,85501.0,85501.0
1985,1312,89870.0,89870.0
1986,1312,93552.0,93552.0
1987,1312,97935.0,97935.0
1988,1312,101572.0,101572.0
1989,1312,106234.0,106234.0
1990,1312,117662.0,117662.0
1991,1312,114876.0,114876.0
1992,1312,120058.0,120058.0
1993,1312,123146.0,123146.0
1994,1312,130091.0,130091.0
1995,1312,135693.0,135693.0
1996,1312,144637.0,144637.0
1997,1312,146897.0,146897.0
1998,1312,152466.0,152466.0
1999,1312,156160.0,156160.0
2000,1312,172743.0,172743.0
2001,1312,174567.0,174567.0
2002,1312,186185.0,186185.0
2003,1312,201534.0,201534.0
2004,1312,219267.0,219267.0
2005,1312,228017.0,228017.0
2006,1312,249233.0,249233.0
2007,1312,257546.0,257546.0
2008,1312,275230.0,275230.0
2009,1312,293778.0,293778.0
2010,1312,309779.0,309779.0
2011,1312,324195.0,324195.0
2012,1312,330114.0,330114.0
2013,1312,340743.0,340743.0
2014,1312,346737.0,346737.0
2015,1312,343618.0,343618.0
2016,1312,335101.0,335101.0
2017,1312,325460.0,325460.0
2018,1312,327765.0,327765.0
2019,1312,341123.0,341123.0
2020,1312,346939.0,335669.8125
2021,1312,344903.0,341317.1875
2022,1312,340156.0,341661.15625
2023,1312,330185.0,338676.9375
2024,1312,342320.0,333006.0
2025,1312,,340543.03125
2026,1312,,339675.40625
2027,1312,,337579.90625
2028,1312,,335650.53125
2029,1312,,335265.46875
1975,2403,10729.0,10729.0
1976,2403,11237.0,11237.0
1977,2403,12375.0,12375.0
1978,2403,12975.0,12975.0
1979,2403,13660.0,13660.0
1980,2403,14291.0,14291.0
1981,2403,15201.0,15201.0
1982,2403,16252.0,16252.0
1983,2403,17029.0,17029.0
1984,2403,17627.0,17627.0
1985,2403,19769.0,19769.0
1986,2403,20790.0,20790.0
1987,2403,22047.0,22047.0
1988,2403,22805.0,22805.0
1989,2403,23919.0,23919.0
1990,2403,24923.0,24923.0
1991,2403,25622.0,25622.0
1992,2403,25314.0,25314.0
1993,2403,26916.0,26916.0
1994,2403,28299.0,28299.0
1995,2403,29732.0,29732.0
1996,2403,30842.0,30842.0
1997,2403,32681.0,32681.0
1998,2403,32619.0,32619.0
1999,2403,32884.0,32884.0
2000,2403,35940.0,35940.0
2001,2403,36364.0,36364.0
2002,2403,37330.0,37330.0
2003,2403,41050.0,41050.0
2004,2403,45000.0,45000.0
2005,2403,47045.0,47045.0
2006,2403,51586.0,51586.0
2007,2403,53689.0,53689.0
2008,2403,58041.0,58041.0
2009,2403,61230.0,61230.0
2010,2403,62834.0,62834.0
2011,2403,67046.0,67046.0
2012,2403,68904.0,68904.0
2013,2403,73326.0,73326.0
2014,2403,73485.0,73485.0
2015,2403,72350.0,72350.0
2016,2403,71539.0,71539.0
2017,2403,70884.0,70884.0
2018,2403,71903.0,71903.0
2019,2403,76785.0,76785.0
2020,2403,79215.0,74995.6875
2021,2403,80162.0,77059.4453125
2022,2403,80457.0,78293.5234375
2023,2403,81287.0,78991.28125
2024,2403,80716.0,79789.453125
2025,2403,,80350.1015625
2026,2403,,79383.046875
2027,2403,,78549.7265625
2028,2403,,77656.0546875
2029,2403,,77097.5234375
